id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3501202,2021,4,0,62,3616,1.1061946902654867,17.146017699115042
3501202,2022,5,0,80,3915,1.277139208173691,20.434227330779056
3501202,2023,6,0,79,3915,1.5325670498084292,20.178799489144318
3501202,2024,6,0,97,3978,1.5082956259426847,24.384112619406736
3501301,2021,22,17,322,25078,0.8772629396283596,12.83993938910599
3501301,2022,23,17,392,27255,0.8438818565400844,14.382682076683178
3501301,2023,23,17,390,27255,0.8438818565400844,14.309301045679693
3501301,2024,26,18,400,28250,0.920353982300885,14.15929203539823
3501400,2021,3,0,44,5320,0.5639097744360902,8.270676691729323
3501400,2022,3,0,53,4808,0.6239600665557404,11.023294509151414
3501400,2023,3,0,62,4808,0.6239600665557404,12.895174708818637
3501400,2024,4,0,75,4896,0.8169934640522876,15.318627450980392
3501509,2021,3,0,37,3251,0.9227929867733006,11.381113503537373
3501509,2022,3,0,35,2885,1.0398613518197573,12.131715771230503
3501509,2023,3,0,37,2885,1.0398613518197573,12.824956672443674
3501509,2024,3,0,42,2923,1.0263427984946971,14.36879917892576
3501608,2021,950,317,4663,244370,3.8875475713058067,19.081720342104184
3501608,2022,997,319,5123,237240,4.202495363345136,21.594166245152586
3501608,2023,1026,319,5222,237240,4.324734446130501,22.011465182937112
3501608,2024,1057,331,5508,246655,4.285337820032028,22.33078591555006
3501707,2021,34,76,1162,41545,0.8183896979179203,27.96967144060657
3501707,2022,34,110,1212,33019,1.0297101668736184,36.706138889730155
3501707,2023,33,168,1180,33019,0.9994245737302765,35.736999909143215
3501707,2024,37,176,1286,33757,1.0960689634742424,38.09580235210475
3501806,2021,7,0,101,5993,1.1680293675955282,16.85299516102119
3501806,2022,8,0,136,5870,1.362862010221465,23.168654173764907
3501806,2023,10,0,134,5870,1.7035775127768313,22.827938671209537
3501806,2024,11,0,135,5975,1.8410041841004183,22.594142259414227
3501905,2021,297,94,1596,73145,4.060427917150865,21.8196732517602
3501905,2022,306,123,1640,68008,4.499470650511705,24.114810022350312
3501905,2023,304,87,1677,68008,4.470062345606399,24.658863663098458
3501905,2024,310,87,1745,69717,4.446548187673021,25.029763185449745
3502002,2021,7,0,64,5115,1.3685239491691104,12.512218963831867
3502002,2022,6,0,98,4589,1.3074743952930923,21.355415123120505
3502002,2023,6,0,75,4589,1.3074743952930923,16.343429941163652
3502002,2024,8,0,103,4684,1.7079419299743808,21.989752348420154
3502101,2021,231,103,1253,57245,4.0352869246222385,21.888374530526683
3502101,2022,263,141,1375,59783,4.399243932221535,22.99984945553084
3502101,2023,286,109,1405,59783,4.783968686750414,23.501664352742416
3502101,2024,311,97,1422,61473,5.059131651294065,23.13210677858572
3502200,2021,35,48,285,25724,1.3605971077592909,11.079147877468513
3502200,2022,41,42,395,24022,1.7067687952710016,16.443260344684038
3502200,2023,44,38,416,24022,1.8316543168761967,17.317458995920408
3502200,2024,46,38,410,24512,1.8766318537859008,16.72650130548303
3502309,2021,11,0,92,6911,1.5916654608594993,13.31211112718854
3502309,2022,9,0,108,5674,1.5861825872400424,19.03419104688051
3502309,2023,8,0,104,5674,1.4099400775467041,18.329221008107158
3502309,2024,9,0,116,5766,1.5608740894901143,20.117932708983695
3502408,2021,6,0,61,4172,1.4381591562799616,14.621284755512944
3502408,2022,7,0,62,4023,1.7399950285856327,15.411384538901318
3502408,2023,9,0,80,4023,2.237136465324385,19.885657469550086
3502408,2024,9,0,72,4108,2.1908471275559886,17.52677702044791
3502507,2021,43,103,605,36211,1.1874844660462291,16.707630278092292
3502507,2022,44,80,624,32569,1.3509779237925634,19.159323282876354
3502507,2023,46,66,643,32569,1.4123860112376798,19.74270011360496
3502507,2024,46,66,684,33223,1.3845829696294736,20.58814676579478
3502606,2021,7,12,82,4122,1.698204754973314,19.89325570111596
3502606,2022,7,12,89,4086,1.7131669114047967,21.78169358786099
3502606,2023,7,12,85,4086,1.7131669114047967,20.802741067058246
3502606,2024,7,12,97,4124,1.697381183317168,23.52085354025218
3502705,2021,47,31,342,24081,1.951746189942278,14.202068020431046
3502705,2022,48,41,347,24585,1.9524100061012812,14.114297335773847
3502705,2023,47,41,418,24585,1.9117347976408379,17.002237136465325
3502705,2024,49,28,468,24886,1.968978542152214,18.80575423933135
3502754,2021,20,0,276,23343,0.8567879021548216,11.823673049736538
3502754,2022,22,0,400,21522,1.0222098318000186,18.585633305454884
3502754,2023,22,0,349,21522,1.0222098318000186,16.21596505900939
3502754,2024,20,0,347,22168,0.9022013713460845,15.653193792854566
3502804,2021,851,423,4417,199210,4.271873901912555,22.172581697705937
3502804,2022,907,460,4887,200124,4.532190042173852,24.419859686994066
3502804,2023,674,384,4817,200124,3.3679118946253324,24.07007655253743
3502804,2024,510,384,4819,207775,2.454578269762965,23.193358199975936
3502903,2021,31,6,327,35389,0.8759784113707649,9.240159371556132
3502903,2022,36,41,332,32443,1.109638442807385,10.23333230589033
3502903,2023,37,41,342,32443,1.1404617328853681,10.541565206670159
3502903,2024,38,41,370,33656,1.129070596624673,10.993582125029713
3503000,2021,13,0,103,5689,2.2851116189136933,18.10511513447003
3503000,2022,13,0,105,5420,2.3985239852398523,19.37269372693727
3503000,2023,12,0,82,5420,2.214022140221402,15.129151291512915
3503000,2024,13,0,104,5526,2.352515381831343,18.820123054650743
3503109,2021,5,8,91,6373,0.7845598619174643,14.278989486897851
3503109,2022,6,6,100,6885,0.8714596949891067,14.524328249818447
3503109,2023,6,6,108,6885,0.8714596949891067,15.686274509803921
